work_year,country_name,job_title,experience_level,salary,remote_ratio
2022,Ireland,Machine Learning Engineer,Senior Level,71444.0,100.0
2022,Luxembourg,Computer Vision Engineer,Entry Level,10000.0,100.0
2022,Malaysia,Data Scientist,Entry Level,40000.0,100.0
2022,Mexico,Data Science Engineer,Senior Level,60000.0,100.0
2022,Netherlands,Machine Learning Engineer,Senior Level,62651.0,100.0
2022,Pakistan,Data Analytics Engineer,Entry Level,20000.0,0.0
2022,Poland,Data Scientist,Mid Level,35590.0,100.0
2022,Portugal,ML Engineer,Entry Level,21983.0,100.0
2022,Portugal,Machine Learning Infrastructure Engineer,Mid Level,58255.0,50.0
2022,Spain,Data Analyst,Mid Level,38470.0,100.0
2022,Spain,Data Engineer,Mid Level,70070.5,100.0
2022,Switzerland,Data Scientist,Mid Level,122346.0,0.0
2022,United Arab Emirates,Machine Learning Engineer,Senior Level,92500.0,100.0
2022,United Kingdom,Data Analyst,Mid Level,50714.75,50.0
2022,United Kingdom,Data Engineer,Entry Level,49079.0,100.0
2022,United Kingdom,Data Engineer,Mid Level,85724.4,60.0
2022,United Kingdom,Data Engineer,Senior Level,71982.0,0.0
2022,United Kingdom,Data Scientist,Mid Level,82888.66666666667,0.0
2022,United Kingdom,Data Scientist,Senior Level,111245.5,0.0
2022,United Kingdom,Machine Learning Engineer,Entry Level,37300.0,100.0
2022,United Kingdom,Machine Learning Engineer,Mid Level,111245.5,0.0
2022,United States,AI Scientist,Mid Level,160000.0,50.0
2022,United States,Analytics Engineer,Executive Level,155000.0,100.0
2022,United States,Analytics Engineer,Senior Level,195000.0,0.0
2022,United States,Applied Data Scientist,Mid Level,157000.0,100.0
2022,United States,Applied Data Scientist,Senior Level,278500.0,100.0
2022,United States,Applied Machine Learning Scientist,Mid Level,75000.0,100.0
2022,United States,Computer Vision Engineer,Entry Level,125000.0,0.0
2022,United States,Data Analyst,Executive Level,120000.0,100.0
2022,United States,Data Analyst,Mid Level,102032.5,50.0
2022,United States,Data Analyst,Senior Level,114034.89130434782,82.6086956521739
2022,United States,Data Analytics Lead,Senior Level,405000.0,100.0
2022,United States,Data Analytics Manager,Senior Level,127485.0,100.0
